# NED distances 
#
# name   = galaxy name
# RA,DEC = RA, DEC (J2000) [in degrees]
# mu     = distance modulus (+error) derived from z [in mag]
# D      = mean distance (+error) [in Mpc]
# minD   = min distance in NED [in Mpc]
# maxD   = max distance in NED [in Mpc]
# Vhel   = Heliocentric velocity [in kms]
# A_V    = foreground extinction [in mag] from Schlafly+ '11
#
# Total number of galaxies: 1
#
###########################################################################################################################
#name           |     RA[deg]  |    DEC[deg]  |     mu[mag]  |      mu_err |       D[Mpc]  |       D_err  |    minD[Mpc] |    maxD[Mpc] |    Vhel[kms] |     Vhel_err |    A_V[mag] 
           PGC4 |     0.014636 |    23.087528 |    33.790001 |     0.300000 |    57.567001 |     7.990000 |    50.599998 |    66.300003 |  4461.000000 |     2.000000 |     0.250000
          PGC35 |     0.093958 |    39.495419 |    29.639999 |          NaN |     8.470000 |          NaN |     8.470000 |     8.470000 |   335.000000 |     4.000000 |     0.296000
          PGC38 |     0.118667 |    17.220222 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  1097.000000 |     2.000000 |     0.095000
          PGC43 |     0.122833 |   -40.484470 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  3171.000000 |     7.000000 |     0.026000
          PGC55 |     0.155999 |    33.601273 |    34.520000 |     0.160000 |    80.467003 |     5.780000 |    73.800003 |    84.099998 |  4778.000000 |    10.000000 |     0.138000
          PGC83 |     0.277226 |    32.378078 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |     0.000000 |          NaN |     0.143000
          PGC94 |     0.501667 |    80.642220 |    34.000000 |     0.100000 |    63.075001 |     3.020000 |    61.299999 |    67.599998 |  4104.000000 |          NaN |     0.519000
         PGC109 |     0.361542 |    31.433750 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  4811.000000 |     7.000000 |     0.145000
         PGC110 |     0.368333 |     5.389444 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  3948.000000 |     4.000000 |     0.122000
         PGC112 |     0.375208 |    31.441860 |    34.150002 |     0.090000 |    67.775002 |     2.740000 |    64.199997 |    70.900002 |  4768.000000 |     7.000000 |     0.146000
         PGC120 |     0.409667 |    23.483639 |    33.470001 |     0.580000 |    50.799999 |    11.000000 |    29.000000 |    60.000000 |  4371.000000 |     8.000000 |     0.305000
         PGC129 |     0.424708 |    23.495890 |    34.529999 |     0.430000 |    81.599998 |    14.700000 |    59.700001 |    91.599998 |  4336.000000 |     7.000000 |     0.304000
         PGC143 |     0.492337 |   -15.460928 |    25.010000 |     0.480000 |     1.042000 |     0.442000 |     0.850000 |     3.800000 |  -122.000000 |     2.000000 |     0.104000
         PGC156 |     0.522500 |    16.590279 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  1050.000000 |     4.000000 |     0.095000
